Name,Metro/Rural,Metro Pole,Total Population,Commuter %,Total Commuters,Solo Commuter %,Solo Commuters,Carpooler %,Carpoolers,Public Transit %,Public Transit,Walking %,Walking,Other Transit %,Other Transit,Latitude,Longitude
"Caldwell County, Missouri",Metro,Kansas City,9057.0,41.316109086894116,3742.0,84.12613575628006,3148.0,7.856761090326028,294.0,0.053447354355959376,2.0,1.8973810796365576,71.0,0.7482629609834314,28.0,39.6660775,-93.9878427
"Callaway County, Missouri",Rural,,44693.0,43.55268162799543,19465.0,83.13896737734395,16183.0,10.254302594400203,1996.0,0.14898535833547394,29.0,1.1045466221423068,215.0,2.3067043411250965,449.0,38.8886044,-91.9099238
"Camden County, Missouri",Rural,,44152.0,37.986954158362025,16772.0,80.87288337705702,13564.0,11.721917481516812,1966.0,0.059623181492964465,10.0,0.6320057238254234,106.0,1.3772954924874792,231.0,38.0322944,-92.69838680000001
"Cape Girardeau County, Missouri",Rural,,78089.0,46.72361023959841,36486.0,84.14734418681137,30702.0,9.335087430795372,3406.0,0.4440059200789344,162.0,2.5872937565093457,944.0,1.1977196732993478,437.0,37.3821319,-89.62516459999998
"Carroll County, Missouri",Rural,,9009.0,41.76934176934176,3763.0,79.56417751793781,2994.0,8.902471432367793,335.0,0.05314908317831517,2.0,1.3553016210470372,51.0,1.4881743289928249,56.0,39.516657200000004,-93.5003454
"Carter County, Missouri",Rural,,6249.0,38.56617058729397,2410.0,72.90456431535269,1757.0,10.99585062240664,265.0,0.0,0.0,3.983402489626556,96.0,3.1120331950207474,75.0,36.9073725,-90.9438468
"Cass County, Missouri",Metro,Kansas City,101324.0,47.774466069243225,48407.0,84.06428822277769,40693.0,9.446980808560745,4573.0,0.15080463569318486,73.0,0.5619022042266614,272.0,0.9110252649410208,441.0,38.6574448,-94.315422
"Cedar County, Missouri",Rural,,13932.0,36.24748779787539,5050.0,83.6039603960396,4222.0,8.633663366336632,436.0,0.0,0.0,2.118811881188119,107.0,1.4851485148514851,75.0,37.703120899999995,-93.8655303
"Chariton County, Missouri",Rural,,7615.0,42.96782665791203,3272.0,77.47555012224939,2535.0,11.858190709046454,388.0,0.2139364303178484,7.0,1.4975550122249388,49.0,1.0085574572127138,33.0,39.530151700000005,-93.0175712
"Christian County, Missouri",Metro,Springfield,82053.0,45.97150622158848,37721.0,82.74701094880835,31213.0,9.893693168261713,3732.0,0.11929694334720713,45.0,0.8934015535113067,337.0,1.622438429522017,612.0,36.99764400000001,-93.1779659
"Clark County, Missouri",Rural,,6860.0,45.90379008746356,3149.0,80.91457605589078,2548.0,7.812003810733565,246.0,0.0952683391552874,3.0,3.3343918704350584,105.0,1.8736106700539852,59.0,40.377237799999996,-91.75388170000001
"Clay County, Missouri",Metro,Kansas City,233135.0,50.98848306775045,118872.0,84.14428965610068,100024.0,8.454472037149202,10050.0,0.6208358570563295,738.0,1.250084124099872,1486.0,0.8866680126522647,1054.0,39.317618599999996,-94.47997600000001
"Clinton County, Missouri",Metro,Kansas City,20494.0,47.32604664779936,9699.0,82.10124755129394,7963.0,12.258995772760079,1189.0,0.639241158882359,62.0,1.11351685740798,108.0,0.9073100319620578,88.0,39.6481768,-94.47997600000001
"Cole County, Missouri",Rural,,76603.0,47.05298748090806,36044.0,85.47053601154145,30807.0,9.213738763733216,3321.0,0.36621906558650535,132.0,1.1541449339695926,416.0,1.2706691821107534,458.0,38.5052486,-92.26303929999999
"Cooper County, Missouri",Rural,,17613.0,43.94481349003577,7740.0,83.37209302325581,6453.0,10.090439276485787,781.0,0.07751937984496124,6.0,2.248062015503876,174.0,0.8656330749354004,67.0,38.8693247,-92.8577105
"Crawford County, Missouri",Rural,,24545.0,37.429211652067636,9187.0,81.03842385980191,7445.0,12.724502013715036,1169.0,0.2721236529879177,25.0,1.5892021334494393,146.0,0.522477413736802,48.0,38.0561057,-91.2891036
